======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING WIKIPEDIA LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504

iteration2: 2, mu=1e-05, R_average=504, R_average2=504

iteration2: 3, mu=1e-05, R_average=504, R_average2=503.986

iteration2: 4, mu=0.01, R_average=503.986, R_average2=45.4324

iteration2: 5, mu=0.01, R_average=45.4324, R_average2=20.2519

iteration2: 6, mu=0.001, R_average=20.2519, R_average2=18.2183

iteration2: 7, mu=1, R_average=18.2183, R_average2=17.7692

iteration2: 8, mu=1, R_average=17.7692, R_average2=16.7877

iteration2: 9, mu=1, R_average=16.7877, R_average2=15.4492

iteration2: 10, mu=1, R_average=15.4492, R_average2=14.0446

iteration2: 11, mu=1, R_average=14.0446, R_average2=12.8235

iteration2: 12, mu=1, R_average=12.8235, R_average2=11.8397

iteration2: 13, mu=1, R_average=11.8397, R_average2=11.0672

iteration2: 14, mu=1, R_average=11.0672, R_average2=10.464

iteration2: 15, mu=1, R_average=10.464, R_average2=9.99164

iteration2: 16, mu=1, R_average=9.99164, R_average2=9.619

iteration2: 17, mu=1, R_average=9.619, R_average2=9.32216

iteration2: 18, mu=1, R_average=9.32216, R_average2=9.08309

iteration2: 19, mu=1, R_average=9.08309, R_average2=8.88826

iteration2: 20, mu=1, R_average=8.88826, R_average2=8.72752

iteration2: 21, mu=1, R_average=8.72752, R_average2=8.59325

iteration2: 22, mu=1, R_average=8.59325, R_average2=8.47968

iteration2: 23, mu=1, R_average=8.47968, R_average2=8.38244

iteration2: 24, mu=1, R_average=8.38244, R_average2=8.29818

iteration2: 25, mu=1, R_average=8.29818, R_average2=8.22433

iteration2: 26, mu=1, R_average=8.22433, R_average2=8.15891

iteration2: 27, mu=1, R_average=8.15891, R_average2=8.10038

iteration2: 28, mu=1, R_average=8.10038, R_average2=8.04754

iteration2: 29, mu=1, R_average=8.04754, R_average2=7.99944

iteration2: 30, mu=1, R_average=7.99944, R_average2=7.95535

iteration2: 31, mu=1, R_average=7.95535, R_average2=7.91466

iteration2: 32, mu=1, R_average=7.91466, R_average2=7.8769

iteration2: 33, mu=1, R_average=7.8769, R_average2=7.84169

iteration2: 34, mu=1, R_average=7.84169, R_average2=7.80872

