iteration: 1, mu=10000, J_total_sum2=268.8343355534645
iteration: 2, mu=100000, J_total_sum2=214.6418344265839
iteration: 3, mu=100000, J_total_sum2=190.4400470892886
iteration: 4, mu=10000, J_total_sum2=178.8175177426876
iteration: 5, mu=100000, J_total_sum2=174.3772528550754
iteration: 6, mu=100000, J_total_sum2=170.1764731232512
iteration: 7, mu=100000, J_total_sum2=161.7855538952854
iteration: 8, mu=100000, J_total_sum2=154.3461294184306
iteration: 9, mu=1000000, J_total_sum2=151.9282917628215
iteration: 10, mu=1000000, J_total_sum2=149.4465141246161
iteration: 11, mu=1000000, J_total_sum2=147.6656348740767
iteration: 12, mu=1000000, J_total_sum2=146.0160275005849
iteration: 13, mu=1000000, J_total_sum2=144.4805449538224
iteration: 14, mu=1000000, J_total_sum2=142.8560826408525
iteration: 15, mu=1000000, J_total_sum2=141.3393413681437
iteration: 16, mu=1000000, J_total_sum2=139.8147415850093
iteration: 17, mu=1000000, J_total_sum2=138.2131130610666
iteration: 18, mu=1000000, J_total_sum2=136.6069784596095
iteration: 19, mu=1000000, J_total_sum2=135.0781691989966
iteration: 20, mu=1000000, J_total_sum2=133.4683016992724
iteration: 21, mu=1000000, J_total_sum2=132.0274573825157
iteration: 22, mu=1000000, J_total_sum2=130.7303743073111
iteration: 23, mu=1000000, J_total_sum2=129.2008641773837
iteration: 24, mu=1000000, J_total_sum2=127.438862635488
iteration: 25, mu=1000000, J_total_sum2=125.5975764657295
iteration: 26, mu=1000000, J_total_sum2=124.0171885695106
iteration: 27, mu=1000000, J_total_sum2=122.3252056012496
iteration: 28, mu=1000000, J_total_sum2=120.435487313819
iteration: 29, mu=1000000, J_total_sum2=118.6492014071278
iteration: 30, mu=1000000, J_total_sum2=116.8556645775089
iteration: 31, mu=1000000, J_total_sum2=114.9276851552062
iteration: 32, mu=1000000, J_total_sum2=112.6901252253168
iteration: 33, mu=1000000, J_total_sum2=110.2447179198612
iteration: 34, mu=1000000, J_total_sum2=107.9551683356757
iteration: 35, mu=1000000, J_total_sum2=105.5804569709293
iteration: 36, mu=1000000, J_total_sum2=103.3176730209616
iteration: 37, mu=100000, J_total_sum2=93.66162002116508
iteration: 38, mu=100000, J_total_sum2=86.0636624171205
iteration: 39, mu=100000, J_total_sum2=78.40203426201182
iteration: 40, mu=1000000, J_total_sum2=76.69336543646887
iteration: 41, mu=100000, J_total_sum2=72.24486161128264
iteration: 42, mu=1000000, J_total_sum2=71.15966756644742
iteration: 43, mu=1000000, J_total_sum2=69.59010539866172
iteration: 44, mu=1000000, J_total_sum2=68.06506207765473
iteration: 45, mu=1000000, J_total_sum2=66.72385640065302
iteration: 46, mu=1000000, J_total_sum2=65.5623648971257
iteration: 47, mu=1000000, J_total_sum2=64.55593037851004
iteration: 48, mu=1000000, J_total_sum2=63.65116702511024
iteration: 49, mu=1000000, J_total_sum2=62.91839264907702
iteration: 50, mu=1000000, J_total_sum2=62.27366251482643
iteration: 51, mu=1000000, J_total_sum2=61.67337227006048
iteration: 52, mu=1000000, J_total_sum2=61.20985385834494
iteration: 53, mu=1000000, J_total_sum2=60.7758519876167
iteration: 54, mu=1000000, J_total_sum2=60.35772962570701
iteration: 55, mu=1000000, J_total_sum2=59.94117291352537
iteration: 56, mu=1000000, J_total_sum2=59.59968745696565
iteration: 57, mu=1000000, J_total_sum2=59.24870443378783
iteration: 58, mu=1000000, J_total_sum2=58.85498779776854
iteration: 59, mu=1000000, J_total_sum2=58.46972126889214
iteration: 60, mu=1000000, J_total_sum2=58.14425215166811
iteration: 61, mu=1000000, J_total_sum2=57.90234290901911
iteration: 62, mu=1000000, J_total_sum2=57.66994265738845
iteration: 63, mu=1000000, J_total_sum2=57.43860514229408
iteration: 64, mu=1000000, J_total_sum2=57.18605597211982
iteration: 65, mu=1000000, J_total_sum2=56.92630236964357
iteration: 66, mu=1000000, J_total_sum2=56.68530605158629
iteration: 67, mu=1000000, J_total_sum2=56.50141366828338
iteration: 68, mu=1000000, J_total_sum2=56.32849196552928
iteration: 69, mu=1000000, J_total_sum2=56.16862599766093
iteration: 70, mu=1000000, J_total_sum2=55.9928329618043
iteration: 71, mu=1000000, J_total_sum2=55.80721645790324
iteration: 72, mu=1000000, J_total_sum2=55.61136728760737
iteration: 73, mu=1000000, J_total_sum2=55.39782336279304
iteration: 74, mu=1000000, J_total_sum2=55.19366159798454
iteration: 75, mu=1000000, J_total_sum2=55.03287896673936
iteration: 76, mu=1000000, J_total_sum2=54.87219152612329
