iteration: 1, mu=10000, J_total_sum2=262.2787734796808
iteration: 2, mu=100000, J_total_sum2=218.2227159561489
iteration: 3, mu=10000, J_total_sum2=212.0867267385117
iteration: 4, mu=10000, J_total_sum2=197.6356277988318
iteration: 5, mu=100000, J_total_sum2=172.615978857195
iteration: 6, mu=10000, J_total_sum2=156.6616805410999
iteration: 7, mu=10000, J_total_sum2=154.8234988190965
iteration: 8, mu=100000, J_total_sum2=143.9436315372472
iteration: 9, mu=100000, J_total_sum2=137.5570133577574
iteration: 10, mu=10000, J_total_sum2=119.7326806432665
iteration: 11, mu=10000, J_total_sum2=96.33872148199386
iteration: 12, mu=1000, J_total_sum2=47.56359536696428
iteration: 13, mu=10000, J_total_sum2=40.5119439502516
iteration: 14, mu=10000, J_total_sum2=33.44515287431323
iteration: 15, mu=1000, J_total_sum2=27.47344170997964
iteration: 16, mu=1000000, J_total_sum2=25.55078196786732
iteration: 17, mu=100000, J_total_sum2=24.04607728363685
iteration: 18, mu=10000, J_total_sum2=22.38552582487039
iteration: 19, mu=1000, J_total_sum2=19.959777735447
iteration: 20, mu=100000, J_total_sum2=19.36154127557873
iteration: 21, mu=10000, J_total_sum2=19.23497909217538
iteration: 22, mu=1000, J_total_sum2=19.01456818280989
iteration: 23, mu=100000000, J_total_sum2=19.01441153513723
iteration: 24, mu=100000000, J_total_sum2=19.01471776874404
iteration: 25, mu=100000000, J_total_sum2=19.01565201461178
iteration: 26, mu=100000000, J_total_sum2=19.01743051073834
iteration: 27, mu=100000000, J_total_sum2=19.02018544962434
iteration: 28, mu=100000000, J_total_sum2=19.02329928649731
iteration: 29, mu=100000000, J_total_sum2=19.02589346878363
iteration: 30, mu=100000000, J_total_sum2=19.027845164913
iteration: 31, mu=100000000, J_total_sum2=19.02928151248062
iteration: 32, mu=100000000, J_total_sum2=19.03033097749852
iteration: 33, mu=100000000, J_total_sum2=19.03108778688546
iteration: 34, mu=100000000, J_total_sum2=19.03162161864429
iteration: 35, mu=100000000, J_total_sum2=19.03198668679304
iteration: 36, mu=100000000, J_total_sum2=19.03222679836939
iteration: 37, mu=100000000, J_total_sum2=19.0323770548203
iteration: 38, mu=100000000, J_total_sum2=19.03246512838775
iteration: 39, mu=100000000, J_total_sum2=19.03251284909611
iteration: 40, mu=100000000, J_total_sum2=19.03253738365795
iteration: 41, mu=100000000, J_total_sum2=19.03255206456571
iteration: 42, mu=100000000, J_total_sum2=19.03256706111906
iteration: 43, mu=100000000, J_total_sum2=19.03258996247567
iteration: 44, mu=100000000, J_total_sum2=19.0326262859996
iteration: 45, mu=100000000, J_total_sum2=19.03267991211628
iteration: 46, mu=100000000, J_total_sum2=19.03275344900881
iteration: 47, mu=100000000, J_total_sum2=19.03284853243436
iteration: 48, mu=100000000, J_total_sum2=19.03296606674159
iteration: 49, mu=100000000, J_total_sum2=19.03310641583605
iteration: 50, mu=100000000, J_total_sum2=19.03326955270824
iteration: 51, mu=100000000, J_total_sum2=19.03345517591404
iteration: 52, mu=100000000, J_total_sum2=19.03366279954134
iteration: 53, mu=100000000, J_total_sum2=19.03389182219041
iteration: 54, mu=100000000, J_total_sum2=19.03414157915504
iteration: 55, mu=100000000, J_total_sum2=19.03441138151094
iteration: 56, mu=100000000, J_total_sum2=19.03470054522791
iteration: 57, mu=100000000, J_total_sum2=19.03500841205292
iteration: 58, mu=100000000, J_total_sum2=19.03533436514608
iteration: 59, mu=100000000, J_total_sum2=19.03567784017493
iteration: 60, mu=100000000, J_total_sum2=19.03603833414611
iteration: 61, mu=100000000, J_total_sum2=19.03641541291692
iteration: 62, mu=100000000, J_total_sum2=19.03680871879293
reach mu_max 
