iteration: 1, mu=10000, J_total_sum2=262.278773479680353
iteration: 2, mu=100000, J_total_sum2=218.222715956149017
iteration: 3, mu=10000, J_total_sum2=212.086726738511913
iteration: 4, mu=10000, J_total_sum2=197.635627798833980
iteration: 5, mu=100000, J_total_sum2=172.615978857194648
iteration: 6, mu=10000, J_total_sum2=156.661680541105795
iteration: 7, mu=10000, J_total_sum2=154.823498819172016
iteration: 8, mu=100000, J_total_sum2=143.943631537242567
iteration: 9, mu=100000, J_total_sum2=137.557013356305390
iteration: 10, mu=10000, J_total_sum2=119.732680634835177
iteration: 11, mu=10000, J_total_sum2=96.338721473542165
iteration: 12, mu=1000, J_total_sum2=47.563595205217936
iteration: 13, mu=10000, J_total_sum2=40.513483275674943
iteration: 14, mu=10000, J_total_sum2=33.444426546550396
iteration: 15, mu=1000, J_total_sum2=27.483373449133268
iteration: 16, mu=1000000, J_total_sum2=25.010431820913485
iteration: 17, mu=100000, J_total_sum2=23.760736952034975
iteration: 18, mu=10000, J_total_sum2=22.369572751647226
iteration: 19, mu=10000, J_total_sum2=21.330106220878282
iteration: 20, mu=1000, J_total_sum2=21.099485828586605
iteration: 21, mu=10000, J_total_sum2=20.891605265930469
iteration: 22, mu=10000, J_total_sum2=20.662375581886707
iteration: 23, mu=1000, J_total_sum2=19.651086481652161
iteration: 24, mu=1000, J_total_sum2=18.628862341054592
iteration: 25, mu=10000, J_total_sum2=18.579951975137597
iteration: 26, mu=10000, J_total_sum2=18.542860378761855
iteration: 27, mu=10000, J_total_sum2=18.497869062553505
iteration: 28, mu=10000, J_total_sum2=18.493663579408143
iteration: 29, mu=10000, J_total_sum2=18.459121301796937
iteration: 30, mu=10000, J_total_sum2=18.421807929040714
iteration: 31, mu=10000, J_total_sum2=18.395262251094060
iteration: 32, mu=1000, J_total_sum2=18.311672454195154
iteration: 33, mu=1000, J_total_sum2=18.139339316957077
iteration: 34, mu=100000, J_total_sum2=18.082422711070858
iteration: 35, mu=10000, J_total_sum2=18.008400535718685
iteration: 36, mu=100000, J_total_sum2=17.945523552952857
iteration: 37, mu=1000000, J_total_sum2=17.923526120336057
iteration: 38, mu=1000000, J_total_sum2=17.907741389404151
iteration: 39, mu=1000000, J_total_sum2=17.894375235491150
iteration: 40, mu=100000, J_total_sum2=17.867082151845398
iteration: 41, mu=100000, J_total_sum2=17.848776429243145
iteration: 42, mu=100000, J_total_sum2=17.848167778233780
iteration: 43, mu=100000, J_total_sum2=17.846895372413378
iteration: 44, mu=100000, J_total_sum2=17.843912401859370
iteration: 45, mu=10000000, J_total_sum2=17.842462374198590
iteration: 46, mu=10000000, J_total_sum2=17.840421541947830
iteration: 47, mu=10000000, J_total_sum2=17.834614692044617
iteration: 48, mu=100000000, J_total_sum2=17.832405329642629
iteration: 49, mu=100000000, J_total_sum2=17.830007283088982
iteration: 50, mu=100000000, J_total_sum2=17.827366674546091
iteration: 51, mu=10000000, J_total_sum2=17.816432643217748
iteration: 52, mu=100000000, J_total_sum2=17.816049547950026
iteration: 53, mu=100000000, J_total_sum2=17.815426706357201
iteration: 54, mu=100000000, J_total_sum2=17.814493230939899
iteration: 55, mu=100000000, J_total_sum2=17.813304519515292
iteration: 56, mu=100000000, J_total_sum2=17.811980259737084
iteration: 57, mu=100000000, J_total_sum2=17.810751244384988
iteration: 58, mu=100000000, J_total_sum2=17.809714888297101
iteration: 59, mu=100000000, J_total_sum2=17.808898501265261
iteration: 60, mu=100000000, J_total_sum2=17.808305145722699
iteration: 61, mu=100000000, J_total_sum2=17.807833189498407
iteration: 62, mu=10000000, J_total_sum2=17.803682806254393
